Row,Col1,Col2,Col3,Col4,Col5,Col6,Date
1,05. Gurvanbileg,17. Modnii 2 1,24. Shonkhor plaza,32. 4th Khoroolol,48. Urguu 1,143. Tedy,09-Oct
2,108. Khugjil khotkhon,130. Darkhan nekhii khoroo,155. BGD 17-r,156. Khuree deed khoroo,167. Avto plaza 2,172. Chingunjavii gudamj,10-Oct
3,49. Grand Plaza,54. Modnii 2 Elegance 1,190. Amarsanaagiin gudamj,208. Korea town,276. Good day hotel,221. Namuun zochid buudal 1,13-Oct
4,66. Golden Park Khotkhon,103. Suvilakhiin gurguuli,90. Material impex,205. Taliin bolor,219. 10 khoroolol 2,232. Urguu 68,14-Oct
5,207. Premium apartment,213. Zamchdiin gudamj,74. 3-r emneleg,389. Unity center,332. Sod Tuv,251. Guryaljin,15-Oct
6,281. Khasbaatariin gudamj,385. Solo mall,98. Stars tuv,136. Blue gem,220. Gandan,225. Shar Ordon,16-Oct
7,338. Zuragtiin etses,106. Premium Ulaanbaatar,346. GSSVT Urd,146. Grace tuv,296. Bichil Talimaa,215. Eh nylhas,17-Oct
8,115. Harhorin zah,261. DTSS-4,179. Moscow khoroolol,118. 6-r Bichil,217. 32-n buudal,260. Sapporo,20-Oct
9,273. Grand vista apartment,196. Vokzal,70. Altai Khotkhon,301. Altai khotkhon-2,247. GB Town,339. Chukhag khotkhon,21-Oct
10,34. Sodon khoroolol,151. 21 khoroolol,380. Orbitiin toirog,181. Enkhjin khudaldaanii tuv,342. Tolgoitiin etses,331. MN Central office,22-Oct
11,117. SHD,345. Bayankhoshuunii etses,337. Bayankhoshuun tsag tuv,239. 22 tovchoonii naana,246. Emeelt,185. Baruun durvun zamiin hoid,23-Oct
12,07. Shangrila,16. Grand Office,50. Business Plaza,222. City Center International tower,324. Eco,334. Lenin Club,24-Oct
13,59. Tuguldur tuv,85. 1-r turuh gudamj,120. Elchingiin gudamj,129. Amariin gudamj,189. Sportiin ordon,192. Gurvan Gal,27-Oct
14,13. Baigal tuv,28. MUIS EZS,30. 11 Khoroolol,109. Metro mall,210. Sukhbaatar emneleg,216. Khoimor,28-Oct
15,105. Narnii Guur,137. Royal plaza,202. Golomt Khotkhon,206. 11-r surguli,224. Khunsnii 50,236. UB ikh delguur,29-Oct
16,227. 50 myangat,250. Seoul street,323. JS Tower,114. GB center,171. Gurvan erdege,198. Canyon,30-Oct
17,94. Pro One office,113. 100 ail UBEG,257. Shine tereg,349. Zuragaan buudal,149. Doloon buudal,254. Belkh Zakh,03-Nov
18,42. Dalai tower,125. Soyombo tower,174. Euro Town,275. Uildveriin gudamj,148. Narkhan khotkhon,140. Peace town,04-Nov
19,359. Choidogiin gudamj,209. Buti town,25. Hunsnii 1,40. Khunsnii 51,56. G-Mobile,97. Khuuchirchiin Gudamj,05-Nov
20,08. 5th school,23. Tuv shuudan,168. Tasganii ovoo,286. Bumbugur,291. UB Inn,295. Khudulmuriin ordon,06-Nov
21,107. Mungun zaviya,119. STAXIE,182. 25-r suvag televiiz,165. Zuragtiin zam,371. Baynburd,144. Khailaast,07-Nov
22,121. Premium palace,193. MN Tower,226. Shaadvlan,297. Jigjidiin zam,306. 5 yam,234. Chingeltei Duureg,31-Oct
23,241. Denjiin 1000,328. Dalai khuu, , , , ,